"Time","ph","Pi"
2.58258258,6.73215982062372,13.4380781034051
2.5975976,6.73050659891022,13.4616577079039
2.61261261,6.72885787179373,13.4850514491411
2.62762763,6.7272136270657,13.5082624737701
2.64264264,6.72557385255067,13.5312938873689
2.65765766,6.72393853610624,13.5541487549317
2.67267267,6.72230766562296,13.5768301013529
2.68768769,6.72068122902424,13.5993409119028
2.7027027,6.71905921426625,13.6216841326954
2.71771772,6.71744160933786,13.6438626711492
2.73273273,6.71582840226054,13.6658793964399
2.74774775,6.71421958108824,13.6877371399458
2.76276276,6.71261513390736,13.7094386956865
2.77777778,6.7110150488366,13.7309868207539
2.79279279,6.70941931402694,13.7523842357373
2.80780781,6.70782791766148,13.7736336251405
2.82282282,6.7062408479554,13.7947376377934
2.83783784,6.70465809315589,13.8156988872567
2.85285285,6.70307964154198,13.8365199522203
2.86786787,6.70150548142456,13.8572033768957
2.88288288,6.6999356011462,13.8777516714021
2.8978979,6.69836998908115,13.8981673121471
2.91291291,6.69680863363518,13.9184527422014
2.92792793,6.69525152324552,13.9386103716676
2.94294294,6.69369864638081,13.9586425780444
2.95795796,6.69214999154095,13.9785517065846
2.97297297,6.69060554725708,13.9983400706481
2.98798799,6.68906530209145,14.0180099520506
3.003003,6.68752924463734,14.0375636014061
3.01801802,6.68599736351901,14.0570032384658
3.03303303,6.68446964739157,14.0763310524515
3.04804805,6.68294608494094,14.0955492023847
3.06306306,6.68142666488373,14.1146598174117
3.07807808,6.67991137596719,14.1336649971234
3.09309309,6.67840020696907,14.1525668118722
3.10810811,6.67689314669763,14.1713673030833
3.12312312,6.67539018399146,14.1900684835637
3.13813814,6.67389130771947,14.208672337806
3.15315315,6.67239650678076,14.2271808222889
3.16816817,6.67090577010457,14.2455958657743
3.18318318,6.66941908665017,14.2639193696009
3.1981982,6.66793644540682,14.2821532079737
3.21321321,6.66645783539363,14.3002992282509
3.22822823,6.66498324565955,14.3183592512271
3.24324324,6.66351266528322,14.3363350714137
3.25825826,6.66204608337293,14.3542284573163
3.27327327,6.66058348906654,14.3720411517084
3.28828829,6.65912487153137,14.3897748719034
3.3033033,6.65767021996417,14.4074313100228
3.31831832,6.65621952359098,14.4250121332621
3.33333333,6.65477277166709,14.4425189841547
3.34834835,6.65332995347697,14.4599534808318
3.36336336,6.65189105833415,14.4773172172815
3.37837838,6.65045607558117,14.4946117636042
3.39339339,6.64902499458949,14.5118386662667
3.40840841,6.64759780475945,14.5289994483531
3.42342342,6.6461744955201,14.5460956098145
3.43843844,6.64475505632924,14.5631286277158
3.45345345,6.64333947667324,14.5800999564808
3.46846847,6.64192774606702,14.5970110281355
3.48348348,6.64051985405396,14.6138632525492
3.4984985,6.63911579020582,14.6306580176736
3.51351351,6.63771554412267,14.6473966897805
3.52852853,6.63631910543279,14.6640806136972
3.54354354,6.63492646379263,14.6807111130411
3.55855856,6.63353760888669,14.6972894904513
3.57357357,6.63215253042749,14.7138170278198
3.58858859,6.63077121815546,14.7302949865203
3.6036036,6.62939366183888,14.746724607636
3.61861862,6.6280198512738,14.7631071121854
3.63363363,6.62664977628398,14.7794437013471
3.64864865,6.62528342672077,14.7957355566827
3.66366366,6.62392079246308,14.8119838403587
3.67867868,6.62256186341731,14.8281896953667
3.69369369,6.62120662951723,14.8443542457426
3.70870871,6.61985508072394,14.860478596784
3.72372372,6.61850720702579,14.8765638352665
3.73873874,6.61716299843831,14.8926110296591
3.75375375,6.61582244500411,14.9086212303376
3.76876877,6.61448553679286,14.9245954697976
3.78378378,6.61315226390114,14.9405347628652
3.7987988,6.61182261645246,14.9564401069076
3.81381381,6.61049658459709,14.9723124820418
3.82882883,6.60917415851208,14.9881528513425
3.84384384,6.6078553284011,15.0039621610481
3.85885886,6.60654008449444,15.0197413407665
3.87387387,6.60522841704889,15.0354913036794
3.88888889,6.6039203163477,15.0512129467446
3.9039039,6.6026157727005,15.0669071508987
3.91891892,6.6013147764432,15.0825747812571
3.93393393,6.60001731793795,15.0982166873141
3.94894895,6.59872338757306,15.1138337031409
3.96396396,6.59743297576295,15.129426647583
3.97897898,6.59614607294803,15.1449963244562
3.99399399,6.59486266959468,15.1605435227415
4.00900901,6.59358275619514,15.1760690167793
