"Force","Time","pH"
0.72971254332598,-3.52793256179454,7.5
0.731495028677379,-3.52593227603943,7.5
0.733266103818792,-3.52393199028433,7.5
0.735025775949852,-3.52193170452922,7.5
0.736774163193582,-3.51993141877411,7.5
0.738511307773163,-3.517931133019,7.5
0.740237280332082,-3.51593084726389,7.5
0.74195217026178,-3.51393056150879,7.5
0.743655996015972,-3.51193027575368,7.5
0.745348892380933,-3.50992998999857,7.5
0.747030864551997,-3.50792970424346,7.5
0.748702032564668,-3.50592941848836,7.5
0.750362423973034,-3.50392913273325,7.5
0.752012124916211,-3.50192884697814,7.5
0.753651207136702,-3.49992856122303,7.5
0.755279699277681,-3.49792827546792,7.5
0.756897722391866,-3.49592798971282,7.5
0.758505283962839,-3.49392770395771,7.5
0.760102507130597,-3.4919274182026,7.5
0.76168940237605,-3.48992713244749,7.5
0.763266073932352,-3.48792684669238,7.5
0.764832568982656,-3.48592656093728,7.5
0.766388942946362,-3.48392627518217,7.5
0.767935286320551,-3.48192598942706,7.5
0.769471614403387,-3.47992570367195,7.5
0.770998049334086,-3.47792541791685,7.5
0.772514597678041,-3.47592513216174,7.5
0.774021368870922,-3.47392484640663,7.5
0.775518388641072,-3.47192456065152,7.5
0.777005737147157,-3.46992427489641,7.5
0.778483477848306,-3.46792398914131,7.5
0.779951642432393,-3.4659237033862,7.5
0.781410336280449,-3.46392341763109,7.5
0.782859568459379,-3.46192313187598,7.5
0.784299452120687,-3.45992284612087,7.5
0.785729996485299,-3.45792256036577,7.5
0.787151300113772,-3.45592227461066,7.5
0.788563398501624,-3.45392198885555,7.5
0.789966354548574,-3.45192170310044,7.5
0.791360241230708,-3.44992141734533,7.5
0.792745074454689,-3.44792113159023,7.5
0.794120967292986,-3.44592084583512,7.5
0.7954879246671,-3.44392056008001,7.5
0.796846051712333,-3.4419202743249,7.5
0.798195359999466,-3.4399199885698,7.5
0.799535938658849,-3.43791970281469,7.5
0.800867828881674,-3.43591941705958,7.5
0.80219108117352,-3.43391913130447,7.5
0.803505771136489,-3.43191884554936,7.5
0.804811913516167,-3.42991855979426,7.5
0.806109614023631,-3.42791827403915,7.5
